Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
11207,78.8,21.2,67.2,30.2,0.0,0.0,1.6,0.0
25615,29.1,69.1,54.4,41.4,0.1,1.0,3.1,1.0
42575,25.5,78.9,52.3,44.9,0.5,0.3,2.3,0.0
37083,30.7,81.4,99.1,0.1,0.0,0.1,0.4,0.0
21667,42.0,68.6,13.2,86.5,0.0,0.0,0.3,0.0
71816,11.2,89.3,79.4,13.5,0.4,0.9,9.0,0.0
32911,26.7,72.7,75.9,1.9,0.8,0.5,27.9,0.0
29874,30.4,78.1,62.2,32.0,0.2,0.9,4.8,0.0
56058,9.7,88.8,87.4,10.2,0.3,0.5,0.9,0.0
21131,41.3,74.3,22.6,74.9,0.1,0.0,1.2,0.0
42009,27.7,48.1,79.6,0.6,0.3,0.6,49.4,0.0
27566,27.5,66.9,95.8,1.7,0.2,0.2,1.1,0.0
31968,24.5,81.1,70.5,25.9,0.4,1.0,1.9,0.0
34792,13.8,85.7,97.9,0.0,0.4,0.0,0.7,0.0
29681,31.7,79.8,44.7,51.5,0.3,0.8,2.7,0.0
40292,16.7,87.6,96.6,0.1,0.6,0.7,1.7,1.0
35670,19.1,77.7,94.3,1.9,0.8,0.9,1.3,0.0
57212,8.6,87.5,94.1,3.6,0.4,0.3,0.5,0.0
24286,37.6,71.3,78.3,19.2,0.0,0.1,6.0,0.0
28750,31.6,80.6,94.4,0.0,0.6,0.3,1.4,0.0
42704,18.8,83.5,79.0,19.5,0.2,0.2,0.8,0.0
31438,22.4,77.9,71.5,24.1,0.3,0.7,5.7,0.0
40547,28.3,77.6,75.8,20.3,0.2,0.3,3.8,1.0
47542,13.0,83.4,73.0,17.5,0.6,0.9,8.8,0.0
26775,24.7,73.7,40.0,55.6,1.8,0.3,1.8,0.0
37191,20.3,76.0,81.5,12.7,0.4,0.5,4.7,0.0
38342,31.8,94.3,75.1,16.5,0.3,5.3,2.9,0.0
24833,24.1,71.2,31.3,66.8,0.2,0.0,0.8,0.0
40417,22.2,82.8,94.7,1.8,1.8,0.0,1.3,0.0
55750,6.8,79.9,66.8,26.9,3.2,0.1,0.9,0.0
41912,15.7,81.2,96.7,0.0,0.0,1.5,0.2,0.0
31875,28.6,74.7,96.2,0.2,0.5,0.0,1.5,0.0
31875,19.1,72.4,61.6,35.5,0.7,0.0,1.1,0.0
37778,7.1,80.3,97.5,0.1,0.7,0.3,1.0,0.0
28750,38.2,73.0,69.3,24.6,2.2,0.0,1.1,0.0
31576,26.3,79.1,60.4,35.3,1.0,0.8,1.8,1.0
34583,30.1,58.5,60.3,12.3,0.4,22.8,2.8,0.0
35563,25.3,76.7,97.1,0.1,0.7,0.2,1.8,0.0
18417,44.9,89.1,23.6,76.1,0.3,0.0,0.0,0.0
31875,8.1,87.9,95.0,5.0,0.0,0.0,1.0,0.0
27750,28.8,87.0,96.1,0.0,0.0,0.0,3.9,0.0
28906,39.1,63.8,95.8,2.8,0.0,0.5,0.9,0.0
22132,42.9,86.5,8.3,90.8,0.0,0.9,1.3,0.0
34615,36.7,91.9,92.3,1.6,0.5,2.3,3.6,0.0
25865,30.9,65.4,90.8,7.4,0.0,0.0,0.8,0.0
29615,32.9,81.5,24.3,71.2,0.3,0.2,4.1,0.0
41250,20.5,71.3,86.1,11.1,2.1,0.0,0.7,0.0
31061,30.9,85.1,22.3,73.4,0.2,1.0,3.6,1.0
41071,12.7,90.0,92.3,6.3,0.0,0.0,0.0,0.0
30152,41.2,73.1,87.3,0.7,1.0,0.4,15.3,0.0
96333,0.5,97.6,94.5,2.7,0.7,0.9,1.0,0.0
45313,4.0,95.6,92.7,6.3,0.0,1.0,3.1,0.0
35974,19.4,76.6,87.3,1.8,0.4,0.7,14.2,0.0
12173,60.3,79.9,8.8,90.2,0.0,0.0,0.3,0.0
23750,47.6,85.7,80.2,6.9,2.6,0.0,2.6,0.0
27870,20.7,75.1,56.1,38.8,0.6,0.5,2.0,0.0
40370,19.2,85.1,82.1,3.3,0.9,0.5,12.6,0.0
33924,17.3,73.8,45.1,53.5,0.1,0.0,2.1,0.0
31033,27.8,84.5,54.1,42.6,0.7,0.4,2.2,0.0
28571,34.7,74.9,84.0,8.6,1.9,0.2,1.7,0.0
22146,33.0,78.6,6.5,81.0,1.0,0.0,13.8,0.0
25893,22.5,75.9,98.3,0.2,0.1,0.1,1.6,0.0
60212,11.5,96.2,73.6,16.2,0.2,4.4,7.8,0.0
34554,19.2,78.7,79.5,18.5,0.3,0.1,0.7,0.0
51515,10.8,83.1,92.2,5.3,0.7,0.1,2.0,0.0
28750,23.8,66.2,98.4,1.6,0.0,0.0,0.0,0.0
23819,32.4,77.2,34.1,62.9,0.5,0.6,3.0,0.0
28950,25.3,80.2,71.4,26.7,0.2,0.2,0.7,0.0
62893,5.8,89.1,71.2,23.0,0.2,0.6,5.0,0.0
28375,31.9,82.8,42.0,57.4,0.1,0.0,0.7,0.0
25118,36.6,76.6,10.2,88.4,0.1,0.1,0.7,0.0
25990,32.2,65.4,89.4,8.2,0.2,0.1,1.2,0.0
35938,17.2,73.1,95.0,0.9,0.9,0.1,3.1,0.0
50278,7.4,87.8,96.6,0.3,0.3,0.0,0.0,0.0
27857,29.1,71.0,49.0,43.1,0.1,0.0,10.4,0.0
20677,39.6,75.9,59.2,38.4,0.3,0.0,0.5,0.0
36389,25.8,77.9,86.2,9.9,0.7,0.3,1.2,0.0
39944,25.0,87.1,32.6,62.9,0.2,0.4,4.8,0.0
31268,25.1,76.7,87.0,9.9,0.4,0.3,1.2,0.0
41103,22.4,81.6,72.2,23.7,0.3,0.4,3.0,0.0
35365,19.8,76.0,68.2,31.1,0.0,0.0,0.6,0.0
85757,4.9,93.5,89.5,5.7,0.3,2.0,3.2,0.0
28359,19.9,80.9,77.6,18.3,0.5,0.3,1.7,0.0
30973,33.6,79.9,63.0,33.6,0.8,0.5,2.3,0.0
25948,38.6,78.8,60.1,36.9,0.4,0.5,1.3,0.0
54825,14.7,89.4,87.5,7.2,0.3,0.7,4.3,0.0
48125,16.9,82.5,70.7,20.2,4.9,0.5,2.6,0.0
39823,16.9,76.8,74.9,19.1,0.3,0.6,6.0,1.0
68717,6.6,92.2,84.1,13.3,0.3,0.6,1.3,1.0
32656,16.4,85.3,94.9,1.7,0.3,0.3,2.4,0.0
25203,29.3,57.8,35.8,63.8,0.0,0.0,0.6,0.0
40909,15.0,74.4,89.2,0.3,0.2,0.3,18.4,0.0
19539,31.4,63.1,32.0,36.5,0.4,0.5,36.0,0.0
